from_id,from_lat,from_lon,to_id,to_lat,to_lon,option,departure_time,total_duration,total_distance,segment,mode,segment_duration,wait,distance,route,geometry
x24510190300,39.2826797,-76.6431857,western_h,39.347161199999995,-76.6425979,1,06:52:02,55.4,10704,1,WALK,5.9,0.0,364,,LINESTRING (-76.6427621 39.2827839, -76.6434667 39.2827738, -76.643443 39.2828328, -76.6434336 39.2830208, -76.643408 39.2830408, -76.6433894 39.2830649, -76.6433803 39.2830867, -76.6433769 39.2831094, -76.6433792 39.2831315, -76.643387 39.2831528, -76.6434111 39.2831842, -76.6434435 39.2832066, -76.6435 39.2834603, -76.6435287 39.2839474, -76.6435532 39.2843665, -76.6436089 39.2853118, -76.6437318 39.2853047, -76.64373 39.285251)
x24510190300,39.2826797,-76.6431857,western_h,39.347161199999995,-76.6425979,1,06:52:02,55.4,10704,2,BUS,10.1,1.4,2363,11742,LINESTRING (-76.6437311004448 39.285294460544584, -76.6436 39.2853, -76.64289 39.28533, -76.64218 39.28537, -76.64221 39.28583, -76.64224 39.28637, -76.64225049571276 39.28650382033765, -76.64225049571276 39.28650382033765, -76.64228 39.28688, -76.64231 39.28738, -76.64236 39.28837, -76.64198795360535 39.28838873614937, -76.64198795360535 39.28838873614937, -76.64097 39.28844, -76.64027 39.28846, -76.63976447471141 39.2884810635537, -76.63976447471141 39.2884810635537, -76.63955 39.28849, -76.63886 39.28852, -76.63849078148365 39.2885405121398, -76.63849078148365 39.2885405121398, -76.63814 39.28856, -76.63744 39.2886, -76.63674 39.28864, -76.63604 39.28866, -76.63596 39.28866, -76.63554906144618 39.28867245268345, -76.63554906144618 39.28867245268345, -76.6353 39.28868, -76.6338 39.28876, -76.633 39.2888, -76.63294 39.2888, -76.63252045277417 39.288831864346264, -76.63252045277417 39.288831864346264, -76.63215 39.28886, -76.63143 39.28887, -76.6289 39.28898, -76.62836357460023 39.28899219148636, -76.62836357460023 39.28899219148636, -76.62802 39.289, -76.62778 39.289, -76.62678 39.28904, -76.62518 39.28912, -76.62488535173416 39.28913365919113, -76.62488535173416 39.28913365919113, -76.62367 39.28919, -76.62347 39.2892, -76.62269 39.28923, -76.6224815131271 39.289234963973165, -76.6224815131271 39.289234963973165, -76.62227 39.28924, -76.62092 39.28931, -76.62036155613124 39.28933248767257)
x24510190300,39.2826797,-76.6431857,western_h,39.347161199999995,-76.6425979,1,06:52:02,55.4,10704,3,WALK,3.9,0.0,217,,LINESTRING (-76.62036 39.289268, -76.6203609 39.2893214, -76.6204555 39.2893187, -76.620818 39.2893083, -76.6208191 39.2893905, -76.6209231 39.289392, -76.620954 39.2898824, -76.6209823 39.2903297, -76.6209863 39.2903935, -76.620994 39.2904785, -76.621021 39.2907762)
x24510190300,39.2826797,-76.6431857,western_h,39.347161199999995,-76.6425979,1,06:52:02,55.4,10704,4,BUS,27.4,4.6,7645,11680,LINESTRING (-76.62101685605883 39.290784545412066, -76.62102 39.29086, -76.62103 39.29093, -76.62104 39.29112, -76.62106 39.29148, -76.62107047864318 39.29165289761245, -76.62107047864318 39.29165289761245, -76.6211 39.29214, -76.62114 39.29282, -76.62117931450844 39.29322887088776, -76.62117931450844 39.29322887088776, -76.62119 39.29334, -76.62124 39.29388, -76.62127 39.29435, -76.62127 39.2944, -76.6213 39.29491, -76.6213108986199 39.295229692850114, -76.6213108986199 39.295229692850114, -76.62133 39.29579, -76.62136849403561 39.29642900099098, -76.62136849403561 39.29642900099098, -76.62138 39.29662, -76.62142 39.29731, -76.62145628265202 39.29786460625232, -76.62145628265202 39.29786460625232, -76.62149 39.29838, -76.62151 39.29884, -76.62152 39.29922, -76.62152 39.29929, -76.62154285966814 39.29992245081842, -76.62154285966814 39.29992245081842, -76.62155 39.30012, -76.62154 39.30052, -76.62146 39.30073, -76.62142 39.30075, -76.6212833495617 39.30082686587155, -76.6212833495617 39.30082686587155, -76.62126 39.30084, -76.62101 39.30099, -76.62045 39.30147, -76.62032 39.30161, -76.62024 39.30176, -76.62032 39.30216, -76.62038 39.30245, -76.62043 39.30267, -76.62048 39.3029, -76.62056 39.30329, -76.62061 39.30372, -76.62062 39.30381, -76.62068 39.30423, -76.62069 39.30434, -76.62073107931555 39.30464398693502, -76.62073107931555 39.30464398693502, -76.62074 39.30471, -76.62075 39.3048, -76.62077 39.30494, -76.6208 39.30523, -76.6209 39.30598, -76.62092 39.30613, -76.621 39.30679, -76.62101 39.30704, -76.62098 39.30732, -76.62097 39.30743, -76.62093 39.30766, -76.62088 39.3078, -76.62084 39.30793, -76.62071 39.30819, -76.62049 39.30856, -76.62036 39.30878, -76.62019 39.30911, -76.62013 39.30922, -76.61976 39.31, -76.61973 39.31006, -76.61953 39.31048, -76.6193854651022 39.31082688375473, -76.6193854651022 39.31082688375473, -76.61933 39.31096, -76.6193 39.3111, -76.61932 39.3117, -76.61934986678838 39.31199120118678, -76.61934986678838 39.31199120118678, -76.61936 39.31209, -76.61943 39.31313, -76.61947 39.31412, -76.61954177443981 39.31505306771755, -76.61954177443981 39.31505306771755, -76.61955 39.31516, -76.61962 39.31624, -76.61968 39.31714, -76.61973072552681 39.317582036733626, -76.61973072552681 39.317582036733626, -76.61975 39.31775, -76.61975 39.31821, -76.6198 39.31904, -76.61980543869495 39.31915421259403, -76.61980543869495 39.31915421259403, -76.61981 39.31925, -76.61983 39.31945, -76.61987 39.32012, -76.6199 39.32053, -76.62047 39.3205, -76.62055 39.32049, -76.62069 39.32047, -76.62094387037813 39.320748899852035, -76.62094387037813 39.320748899852035, -76.6214 39.32125, -76.62197978746175 39.321951847980024, -76.62197978746175 39.321951847980024, -76.62216 39.32217, -76.6226 39.32271, -76.62291 39.3231, -76.62364 39.32402, -76.62374997784778 39.32415965440988, -76.62374997784778 39.32415965440988, -76.62427 39.32482, -76.62478984657227 39.32550824757457, -76.62478984657227 39.32550824757457, -76.62498 39.32576, -76.62507 39.32587, -76.6254 39.32627, -76.62586 39.32683, -76.62592 39.32692, -76.62598 39.327, -76.62604 39.32705, -76.62613 39.3271, -76.62627 39.32713, -76.6264 39.32713, -76.62651 39.32713, -76.62747929609776 39.327091228156085, -76.62747929609776 39.327091228156085, -76.62751 39.32709, -76.62777 39.32708, -76.62893174540876 39.32702948933005, -76.62893174540876 39.32702948933005, -76.62915 39.32702, -76.62923531098902 39.32857455579996, -76.62923531098902 39.32857455579996, -76.62924 39.32866, -76.62928 39.3293, -76.62931 39.32993, -76.62936 39.33057, -76.62939 39.33123, -76.6297337690735 39.3312156762886, -76.6297337690735 39.3312156762886, -76.63035 39.33119, -76.63124 39.33115, -76.6323625323236 39.33110256905675, -76.6323625323236 39.33110256905675, -76.63266 39.33109, -76.63378 39.33105, -76.63462097603798 39.33101106592417, -76.63462097603798 39.33101106592417, -76.63486 39.331, -76.63494 39.33099, -76.63528009876133 39.33213598495662, -76.63528009876133 39.33213598495662, -76.6354 39.33254, -76.63543 39.33263, -76.63561 39.3332, -76.63581 39.33383, -76.63583 39.33389, -76.63592 39.33419, -76.63597477014959 39.33436995906293, -76.63597477014959 39.33436995906293, -76.63599 39.33442, -76.63609 39.33475, -76.63659 39.33643, -76.63669 39.33665, -76.6368 39.33686, -76.63708 39.33725, -76.63716872345358 39.33737487004578, -76.63716872345358 39.33737487004578, -76.63735 39.33763, -76.63771 39.33814, -76.63788 39.33837, -76.63797 39.33849, -76.63798301495075 39.33850859278679, -76.63798301495075 39.33850859278679, -76.63811 39.33869, -76.63835 39.33906, -76.63855 39.33934, -76.63895 39.34, -76.6391 39.34026, -76.63932 39.3407, -76.6395 39.3411, -76.63966 39.3415, -76.63972930323392 39.34170790970177, -76.63972930323392 39.34170790970177, -76.63981 39.34195, -76.63998 39.34245, -76.64008118225962 39.34274949948847, -76.64008118225962 39.34274949948847, -76.64023 39.34319, -76.64028 39.34336, -76.64055 39.34429, -76.64079 39.345, -76.64103304660856 39.345768340891595, -76.64103304660856 39.345768340891595, -76.6411 39.34598, -76.64165 39.34762, -76.64201 39.34883, -76.64208736910507 39.34909290472597)
x24510190300,39.2826797,-76.6431857,western_h,39.347161199999995,-76.6425979,1,06:52:02,55.4,10704,5,WALK,2.1,0.0,115,,LINESTRING (-76.6419669 39.3491519, -76.6421149 39.3491636, -76.6421149 39.3491636, -76.6420443 39.3489264, -76.6420257 39.3488639, -76.642344 39.3487969, -76.6427875 39.3487085)
